reply_comment_total,digg_count,AF,IP,C-Label,video,comment_id,publication_time
0,0,这种女孩就是啥也不干！每天都有男的请！反正男多女少！女的吧干活也饿不死！,Guangdong,Social Evaluation and Concepts,video30,comment34,2025-01-12
0,0,把黑衣服的男的送缅甸去好么,Anhui,Social Evaluation and Concepts,video31,comment35,2024-11-13
3,0,jia 妮 哎哟一样样的,Shanxi,Regional and Group Characteristics,video5,comment36,2022-09-10
0,0,真的烦这种小妹，对生命一点没有爱心和敬畏 绝望的凝视,Henan,Social Evaluation and Concepts,video32,comment37,2025-04-08
0,0,嘢，大家快来看，这里有个甜甜的台妹！,Guangdong,Regional and Group Characteristics,video25,comment38,2024-06-16
0,0,年轻人真有活力 石化,Guangdong,Behavior and Lifestyle,video30,comment39,2025-01-15
0,0,。为什么穿裙子不能抽烟 黑脸,Shandong,Social Evaluation and Concepts,video33,comment40,2025-04-05
0,0,确四 妹油，口音 恩呢？,Hebei,Regional and Group Characteristics,video34,comment41,2024-06-23
0,0,孩子都这样吗 捂脸,Liaoning,Social Evaluation and Concepts,video35,comment42,2025-02-27
0,0,摇小妹的过程我们一起等了，和小妹玩的过程你一笔带过 酷拽,Jiangsu,Challenge Authenticity and Performativity,video7,comment43,2025-02-08
1,0,福利姬啥意思,Zhejiang,Others,video9,comment44,2025-04-01
0,0,情绪价值拉满 赞,Shanxi,Emotions and Interpersonal Relationships,video36,comment45,2025-05-08
0,2,他们虽说没钱，但从来不缺女朋友 捂脸,Guangdong,Emotions and Interpersonal Relationships,video13,comment46,2024-09-16
2,2,呼市都有这了,Chongqing,Regional and Group Characteristics,video37,comment47,2025-05-04
0,0,后续呢 要充值吗,Hunan,Others,video38,comment48,2025-04-20
0,0,就是 这个系列 有什么用,Liaoning,Others,video39,comment49,2024-08-20
0,0,北京的精神小妹在哪里,Beijing,Seeking Interaction and Imitation,video40,comment50,2025-04-10
0,0,酒窝 泪奔好喜欢,Guangdong,Appearance and Attire,video25,comment51,2024-06-27
1,0,小蛋糕是真的漂亮 捂脸 赞,Hebei,Appearance and Attire,video41,comment52,2025-05-14
0,0,进门就说50块一件，店主都没法坑他了 微笑,Shaanxi,Behavior and Lifestyle,video15,comment53,2025-05-13
0,0,精神小妹有什么特征,Beijing,Regional and Group Characteristics,video40,comment54,2025-04-23
3,2,妈呀，他的男朋友肯定是个男的 呲牙,Chongqing,Others,video42,comment55,2025-04-16
0,0,我也想认识个精神小妹,Liaoning,Seeking Interaction and Imitation,video35,comment56,2024-11-11
0,0,真的有这种人吗 呲牙,Jiangxi,Others,video19,comment57,2025-02-07
0,0,结婚真就好吗？享受恋爱不好吗？,Sichuan,Social Evaluation and Concepts,video43,comment58,2025-03-15
0,0,刷到视频也看了直播 很喜欢这个女生 希望你越来越好 会关注你的后续,Guangdong,Emotions and Interpersonal Relationships,video8,comment59,2025-03-19
1,2,你是怎么做到两唇不碰发音的。,Jiangxi,Appearance and Attire,video25,comment60,2024-06-17
0,0,刚纹上就进去了,Guangdong,Behavior and Lifestyle,video44,comment61,2025-03-24
0,0,她除了不来姨妈，好像女人该有的她都有 看,Guangdong,Appearance and Attire,video42,comment62,2025-05-14
0,0,从家里走路去夷陵，锦西 捂脸,Jiangsu,Regional and Group Characteristics,video21,comment63,2023-10-18
0,0,组织你把我丢了,Beijing,Sharing Personal Experiences,video22,comment64,2024-12-08
0,0,想谈精神小妹 憨笑,Henan,Seeking Interaction and Imitation,video45,comment65,2025-02-17
0,0,这种半生不熟的最要命 舔屏,Anhui,Social Evaluation and Concepts,video46,comment66,2025-05-07
0,0,她们被黄毛铲也是铲，你铲也是铲，你铲了就有钱花，花完钱就分手 看,Guangxi,Emotions and Interpersonal Relationships,video47,comment67,2025-05-17
0,0,考公务员？肚脐眼放屁你咋想的？,Liaoning,Social Evaluation and Concepts,video48,comment68,2024-10-12
0,0,果然女的给钱就主动,Shanxi,Social Evaluation and Concepts,video49,comment69,2025-04-20
1,2,这是哪？我出钱你拍视频带我玩就行 捂脸,Henan,Seeking Interaction and Imitation,video7,comment70,2024-12-08
0,1,穿高跟鞋活动方便吗 捂脸,Henan,Appearance and Attire,video14,comment71,2025-04-26
0,0,混吃混喝 给钱就走 毫无灵魂,Jiangsu,Behavior and Lifestyle,video50,comment72,2025-02-16
0,1,甜妹好甜啊 发呆,Inner Mongolia,Appearance and Attire,video25,comment73,2024-06-16
0,1,他们哪来钱住宾馆？ 惊恐,Guangdong,Behavior and Lifestyle,video13,comment74,2024-09-14
2,0,不错唉如果有一个朋友陪我出去这样逛我也可以哒,Gansu,Seeking Interaction and Imitation,video51,comment75,2025-04-27
0,0,这个男的好刻薄,Sichuan,Others,video44,comment76,2025-03-27
1,0,跟你以前很像,Fujian,Appearance and Attire,video5,comment77,2022-09-12
1,0,哈哈第一条是真的,Liaoning,Challenge Authenticity and Performativity,video21,comment78,2023-10-18
0,0,乱丢垃圾 吐血,Guangdong,Behavior and Lifestyle,video50,comment79,2025-02-06
1,0,噗该是什么 绝望的凝视,Jiangsu,Challenge Authenticity and Performativity,video25,comment80,2024-06-16
0,0,真的只有我一个人感到尴尬吗？ 捂脸,Shandong,Others,video52,comment81,2025-05-04
0,0,200一天谁能带我玩一个月？坐标东莞。过年回广西 偷笑,Guangdong,Seeking Interaction and Imitation,video22,comment82,2024-12-08
0,0,你试一下 然后给我传授经验,Shaanxi,Seeking Interaction and Imitation,video40,comment83,2025-04-24
0,2,这样也能活下去,Ningxia,Behavior and Lifestyle,video18,comment84,2025-05-01
0,0,这两个小妮不孬,Jiangsu,Social Evaluation and Concepts,video50,comment85,2025-02-05
0,0,三年前的视频又发出一遍 打脸,Guangdong,Challenge Authenticity and Performativity,video43,comment86,2025-01-16
0,0,这咋比东北女生都虎那,Liaoning,Regional and Group Characteristics,video53,comment87,2025-02-25
0,0,他们家长刷到作何感想 大笑,Chongqing,Social Evaluation and Concepts,video13,comment88,2024-09-23
0,0,白衣小伙子还有救的,Fujian,Social Evaluation and Concepts,video39,comment89,2024-12-21
0,0,小姑娘长的是真的很漂亮,Zhejiang,Appearance and Attire,video8,comment90,2025-04-05
0,0,现在夸人用的小蛋糕，并不是夸你的品行，只是夸你的长相，和你这个人到底精不精神没有关系，所以没必要纠结为什么这两个词会同时出现在同一个人身上,Jiangxi,Social Evaluation and Concepts,video33,comment91,2025-05-05
0,0,你再给我q一个,Henan,Seeking Interaction and Imitation,video54,comment92,2023-06-13
0,0,半年前看过一样的版本,Sichuan,Challenge Authenticity and Performativity,video55,comment93,2025-01-30
0,0,我天，这衣服都包浆了 打脸,Zhejiang,Appearance and Attire,video53,comment94,2025-03-09
1,0,你们没见过我给你艾特一个真精神小妹,Xinjiang,Seeking Interaction and Imitation,video56,comment95,2024-07-10
0,0,1000块 一个 我能叫很多,Zhejiang,Seeking Interaction and Imitation,video7,comment96,2025-01-22
0,0,这妹子能处 赞,Beijing,Emotions and Interpersonal Relationships,video36,comment97,2025-05-09
0,1,这个妹子有点像凤姐 捂脸,Chongqing,Appearance and Attire,video31,comment98,2024-11-16
0,0,情绪价值拉满,Zhejiang,Emotions and Interpersonal Relationships,video42,comment99,2025-04-16
0,0,小伙染的真不错,Jiangsu,Appearance and Attire,video15,comment100,2025-04-30
1,0,这才是最高级的哈哈,Chongqing,Others,video39,comment101,2024-08-20
0,0,这个赛道马上要出一堆人了 看,Hunan,Social Evaluation and Concepts,video57,comment102,2025-05-06
0,0,还真有人纹将军啊？？？？！！！,Henan,Appearance and Attire,video39,comment103,2024-08-24
1,0,性格好好啊这几个女孩 流泪我要能这么朝气蓬勃活泼开朗就好了,Anhui,Emotions and Interpersonal Relationships,video30,comment104,2025-01-17
0,1,点了 送心 比心,Shandong,Others,video6,comment105,2025-04-26
0,0,回头姐妹圈，今天又崩了个老头 看,Fujian,Social Evaluation and Concepts,video24,comment106,2025-05-01
0,0,难姐小号是啥啊 发呆,Henan,Seeking Interaction and Imitation,video58,comment107,2024-11-24
0,0,这么懒就别养狗了 抠鼻,Tianjin,Behavior and Lifestyle,video8,comment108,2025-03-20
0,1,感觉河南人好可爱。,Liaoning,Regional and Group Characteristics,video59,comment109,2025-04-29
0,0,什么奶茶这么好喝 宕机不植入一下吗,Zhejiang,Challenge Authenticity and Performativity,video45,comment110,2025-02-17
1,0,这还价厉害 哈哈哈,Anhui,Behavior and Lifestyle,video15,comment111,2025-05-16
0,0,牡丹，这是牡丹吧，黄头发一分裤，崩农夫山泉那个 泪奔,Hebei,Appearance and Attire,video44,comment112,2025-03-24
0,0,那个小个子不错,Beijing,Appearance and Attire,video1,comment113,2025-05-06
0,0,怀念小时候啊,Liaoning,Others,video60,comment114,2025-03-27
1,0,嫩版梁朝伟 赞,Jiangsu,Appearance and Attire,video43,comment115,2025-01-15
0,2,这俩老演员了,Henan,Challenge Authenticity and Performativity,video61,comment116,2025-05-17
0,2,搁10年前 我一个人就能喊10个妞 捂脸 现在不行了 呲牙,Hubei,Sharing Personal Experiences,video7,comment117,2025-01-17
0,0,好的台妹一定不会乱讲的,Guizhou,Regional and Group Characteristics,video25,comment118,2024-06-16
0,0,这两个妹妹都挺不错的,Gansu,Appearance and Attire,video10,comment119,2025-03-26
0,1,像杜宇霏 捂脸,Guangdong,Appearance and Attire,video34,comment120,2024-06-24
0,0,隔壁评论区的素质也是感人,Guizhou,Social Evaluation and Concepts,video28,comment121,2024-07-24
0,0,黄毛起码一个没洗头了,Guangdong,Appearance and Attire,video53,comment122,2025-02-16
3,1,找一个这种小妹儿过日子，能跑不？,Liaoning,Emotions and Interpersonal Relationships,video19,comment123,2025-02-07
0,0,应该200让人家拿着，然后再另外花钱，吃喝玩乐,Henan,Behavior and Lifestyle,video62,comment124,2025-05-06
0,2,穿CK的那个我是真喜欢 流泪,Gansu,Emotions and Interpersonal Relationships,video63,comment125,2025-02-07
0,0,这才是过日子！,Henan,Behavior and Lifestyle,video22,comment126,2024-12-23
0,1,这是帮什么孩子 吐血,Shandong,Social Evaluation and Concepts,video22,comment127,2024-12-11
0,0,给主播点赞怕赞少了主播下次不拍这个系列逗我开心了 捂脸,Zhejiang,Emotions and Interpersonal Relationships,video64,comment128,2025-05-10
0,0,精神大姐 吐舌,Chongqing,Others,video44,comment129,2025-03-23
1,3,这期太有礼貌了这个,Shandong,Social Evaluation and Concepts,video65,comment130,2025-02-01
0,0,13年14年giao哥那些都是在那起家的，什么什么摇的，大部分这里的网红都是那边来的,Chongqing,Regional and Group Characteristics,video28,comment131,2024-07-25
0,0,长得挺好看的而且人很文明有礼，这真的是精神小妹吗,Zhejiang,Challenge Authenticity and Performativity,video65,comment132,2025-02-01
0,0,上次刷到其他博主遇到台球拖，千把块 捂脸,Anhui,Sharing Personal Experiences,video66,comment133,2025-05-14
1,0,确定这不是段子？这是哪里，我也要去 呲牙,Hebei,Seeking Interaction and Imitation,video22,comment134,2024-12-07
0,2,这徐州话 捂脸,Jiangsu,Regional and Group Characteristics,video65,comment135,2025-02-11
0,0,真的可以做田野调查了，挺有意义的,Jiangsu,Social Evaluation and Concepts,video34,comment136,2024-06-14
20,34,我几乎没朋友，我也想找人带我玩一天，我出三千 快哭了,Jiangsu,Seeking Interaction and Imitation,video22,comment137,2024-12-08
0,0,重庆的精神小伙在哪里,Chongqing,Regional and Group Characteristics,video7,comment138,2024-12-21
1,0,那我去当一下精神小妹吧。,Fujian,Seeking Interaction and Imitation,video21,comment139,2023-10-22
0,0,纹身店也有托了？ 泣不成声,Shaanxi,Challenge Authenticity and Performativity,video67,comment140,2025-01-25
0,0,缅北的确容易,Zhejiang,Regional and Group Characteristics,video7,comment141,2024-12-08
7,2,重庆的女生好害怕 宕机！,Shaanxi,Regional and Group Characteristics,video68,comment142,2024-11-06
0,1,跟闽南语差不多,Fujian,Regional and Group Characteristics,video25,comment143,2024-06-18
1,1,求初中高中职高卫校技校艺校太妹祖宗辱骂,Heilongjiang,Seeking Interaction and Imitation,video69,comment144,2025-01-17
0,0,哥 你怎么先摸上了 流泪,Jiangsu,Emotions and Interpersonal Relationships,video70,comment145,2024-10-07
0,0,天下谁人不识君,Hong Kong,Social Evaluation and Concepts,video71,comment146,2025-05-02
0,1,她们的对这方面想法真的跟我们不一样看到这种还是建议你们离远一点,Liaoning,Social Evaluation and Concepts,video6,comment147,2025-04-26
1,0,这精神小伙能处啊，还给省钱,Yunnan,Emotions and Interpersonal Relationships,video15,comment148,2025-04-30
0,0,118这么好的待遇,Hunan,Social Evaluation and Concepts,video20,comment149,2025-05-03
1,1,驻马店还是有实力,Henan,Regional and Group Characteristics,video15,comment150,2025-04-30
0,0,你这拍的跟我看科幻片有什么区别 苦涩,Guangdong,Challenge Authenticity and Performativity,video24,comment151,2025-04-27
0,0,谁让你是小黄毛,Guangxi,Appearance and Attire,video72,comment152,2025-04-08
0,1,兄弟们 没夹麦的那个我真喜欢,Shandong,Appearance and Attire,video17,comment153,2025-01-27
0,0,PC仔啥意思 尬笑,Guangdong,Others,video19,comment154,2025-04-16
0,0,大家能看看我吗 我也拍的是这种赛道 但是选择的群体是老人，希望也被大家支持跟喜欢,Anhui,Seeking Interaction and Imitation,video8,comment155,2025-04-19
0,0,上了秋千了 也是 呆无辜,Inner Mongolia,Behavior and Lifestyle,video73,comment156,2024-11-13
0,0,怎么才能加入你们,Hunan,Seeking Interaction and Imitation,video74,comment157,2024-09-17
0,0,精神小妹去哪找,Shandong,Seeking Interaction and Imitation,video2,comment158,2025-04-17
0,0,你们三个我问个问题来，把你们处过的对象名字都说出来 呲牙,Liaoning,Seeking Interaction and Imitation,video48,comment159,2024-08-28
0,0,我都是好玩我就多玩会，不好玩我就走的早,Guangdong,Behavior and Lifestyle,video75,comment160,2025-04-28
0,0,情绪价值绝对了,Jiangsu,Emotions and Interpersonal Relationships,video76,comment161,2025-05-05
0,1,这才是真吃，那些吃播真吃假吃高下立见,Shandong,Challenge Authenticity and Performativity,video9,comment162,2025-03-31
0,0,终究是传承了90后 捂脸,Liaoning,Social Evaluation and Concepts,video39,comment163,2024-10-08
0,0,她把你当老头崩了 捂脸,Heilongjiang,Emotions and Interpersonal Relationships,video36,comment164,2025-05-08
0,0,我也有两百块 害羞我想和他们玩玩不一样的,Chongqing,Seeking Interaction and Imitation,video53,comment165,2025-02-11
0,0,这俩妹子我驾驭不了呢,Hebei,Emotions and Interpersonal Relationships,video77,comment166,2025-05-15
0,0,短头发的是男的还是女的？,Guangdong,Appearance and Attire,video22,comment167,2024-12-08
1,2,我一睡不着就看这个人的视频,Guangdong,Others,video5,comment168,2022-09-07
0,0,下次演绎的，别让她化妆,Heilongjiang,Challenge Authenticity and Performativity,video78,comment169,2025-03-07
0,0,点我主页看视频 流泪求求了,Jiangxi,Others,video5,comment170,2022-09-08
0,0,最开心的年龄 赞,Zhejiang,Behavior and Lifestyle,video79,comment171,2025-03-14
0,0,我挺喜欢精神小妹，感觉她们很需要被照顾，又是恋爱脑，又纯情又专一，唉，但是从来遇不到她们。如果有机会 我一定会好好保护她 流泪,Henan,Emotions and Interpersonal Relationships,video38,comment172,2025-05-01
0,0,这几个孩子废了,Henan,Social Evaluation and Concepts,video22,comment173,2024-12-19
0,0,内衣店是啥牌子的,Sichuan,Appearance and Attire,video80,comment174,2025-03-06
0,0,她还穿始祖鸟,Jiangsu,Appearance and Attire,video4,comment175,2025-04-17
1,5,那个大叔也是混的吗 看,Zhejiang,Regional and Group Characteristics,video70,comment176,2024-10-07
0,7,说实话这些女孩都挺单纯的，一点都不世俗，我都有点想找她们玩了 偷笑,Chongqing,Seeking Interaction and Imitation,video17,comment177,2025-02-18
1,1,家里父母看到啥心情,Shandong,Emotions and Interpersonal Relationships,video53,comment178,2025-02-11
0,0,别跟他一般见识，你很优秀。 赞,Hubei,Emotions and Interpersonal Relationships,video81,comment179,2025-05-08
0,0,你们双胞胎啊,Jiangxi,Appearance and Attire,video82,comment180,2024-05-12
0,0,笑死我了，只有胖妹喜欢花总这样的 捂脸,Guizhou,Social Evaluation and Concepts,video83,comment181,2024-11-28
0,0,你们是真饿了,Jiangsu,Social Evaluation and Concepts,video84,comment182,2025-02-06
0,0,我俩带你玩啊 灵机一动,Inner Mongolia,Seeking Interaction and Imitation,video37,comment183,2025-05-06
0,0,老板，穿黑衣服那个是谁,Beijing,Seeking Interaction and Imitation,video85,comment184,2025-02-27
0,0,哈哈，描述的太有画面感了，但我为啥没碰到过这种啊,Sichuan,Sharing Personal Experiences,video56,comment185,2024-06-12
0,1,怎么跟主播的经历一样,Guangdong,Challenge Authenticity and Performativity,video45,comment186,2025-02-17
0,0,为什么要打马赛克，看不得吗？,Jiangsu,Challenge Authenticity and Performativity,video31,comment187,2024-11-13
0,0,谁家的闺女？家长看见什么心情？,Shandong,Social Evaluation and Concepts,video49,comment188,2025-05-03
0,0,有那个味了 看,Shandong,Regional and Group Characteristics,video86,comment189,2025-03-03
0,0,真的还是剧本啊 尬笑服啦,Guangdong,Challenge Authenticity and Performativity,video8,comment190,2025-03-19
0,0,这小妹也是社会人,Jiangsu,Social Evaluation and Concepts,video87,comment191,2025-05-16
0,0,大部分精神小伙小妹都好瘦 暗中观察,Sichuan,Appearance and Attire,video12,comment192,2025-03-03
0,0,这300块我也出得起，哪有那么多精神小妹啊,Guangxi,Challenge Authenticity and Performativity,video88,comment193,2025-05-04
0,0,老妹脾气太好了,Beijing,Emotions and Interpersonal Relationships,video44,comment194,2025-04-29
1,0,一米八的靓仔在这放个钩子，等精神小妹 看,Guangdong,Seeking Interaction and Imitation,video40,comment195,2025-04-27
0,0,不认精神小妹啊 有渠道么 泣不成声 带吃带玩 带旅游,Beijing,Seeking Interaction and Imitation,video40,comment196,2025-04-10
0,1,大哥在ktv花两万，都没你这玩的好 捂脸,Guizhou,Behavior and Lifestyle,video89,comment197,2025-05-07
2,1,都接广告了 宕机,Henan,Challenge Authenticity and Performativity,video90,comment198,2025-02-01
2,2,尬笑栓Q啊，第一个的裤子我也有一条，高一超喜欢穿 流泪,Hunan,Sharing Personal Experiences,video5,comment199,2022-09-08
0,0,太有性价比了 灵机一动,Sichuan,Behavior and Lifestyle,video91,comment200,2025-03-15
0,1,喜欢飞机头 赞,Shandong,Appearance and Attire,video44,comment201,2025-03-23
0,0,我说这些精神小妹身材一个比一个好，娘的都是饿的啊,Anhui,Appearance and Attire,video61,comment202,2025-05-12
4,0,哥笑死我了这不是之前咱那啥都是这样评论了 流泪,Henan,Others,video5,comment203,2022-09-09
0,0,才400块钱，我也愿意花，就冲她叫了那么多声哥哥，还那么懂人情世故 偷笑,Guangdong,Emotions and Interpersonal Relationships,video24,comment204,2025-04-27
0,0,他俩研究生费用我包了,Sichuan,Emotions and Interpersonal Relationships,video92,comment205,2024-07-05
1,6,表妹：锤哥，我有个价值500的才艺。,Chongqing,Seeking Interaction and Imitation,video93,comment206,2025-03-11
0,0,我嘞个豆，丢人现眼 尬笑,Shandong,Social Evaluation and Concepts,video15,comment207,2025-04-30
0,0,两百块钱 流泪,Guangxi,Others,video7,comment208,2024-12-09
0,0,好纯粹的一帮人 捂脸真的感觉好松弛,Xinjiang,Social Evaluation and Concepts,video31,comment209,2025-04-16
0,0,真为这些姑娘们感到悲哀 敲木鱼,Inner Mongolia,Social Evaluation and Concepts,video15,comment210,2025-05-01
0,0,这大花腿绝了,Jiangsu,Appearance and Attire,video49,comment211,2025-04-21
10,38,我找了个精神小妹，06年的，酷酷的，在一起3个月后才发现，佛山本地人，家里6栋楼，我以为一身a货，结果全正牌 捂脸我35了，,Guangdong,Sharing Personal Experiences,video40,comment212,2025-05-08
0,0,哈哈，一起啊 看,Ningxia,Seeking Interaction and Imitation,video94,comment213,2024-11-28
1,0,原来精神跟衣服没关系 泣不成声,Yunnan,Social Evaluation and Concepts,video95,comment214,2024-06-27
0,0,真的不是剧本吗 捂脸,Henan,Challenge Authenticity and Performativity,video8,comment215,2025-03-19
0,38,这年头。老婆不跑就知足吧。你还让他做饭了。,Shanghai,Social Evaluation and Concepts,video96,comment216,2025-04-14
0,0,啊，菏泽单县的，我亲戚 流泪,Shandong,Regional and Group Characteristics,video51,comment217,2025-04-18
0,0,还是年轻的快乐好比较容易满足,Liaoning,Behavior and Lifestyle,video53,comment218,2025-02-15
0,2,你说话真的很机车耶 看,Fujian,Social Evaluation and Concepts,video25,comment219,2024-06-16
0,0,说实话，还是商K好玩 捂脸,Anhui,Others,video7,comment220,2024-12-08
0,1,有没有广东的精神小妹？,Guangdong,Regional and Group Characteristics,video40,comment221,2025-04-10
0,0,我也想养一个精神小妹，来吧！！,Jiangxi,Seeking Interaction and Imitation,video50,comment222,2025-02-21
0,0,都是几个小孩儿,Hubei,Others,video16,comment223,2025-02-06
0,0,难道不是因为穷！但凡能凑够打车的钱也不至于走过去吧 呲牙,Fujian,Behavior and Lifestyle,video21,comment224,2023-10-18
0,0,当主播当误摇头 笑哭,Liaoning,Behavior and Lifestyle,video97,comment225,2024-06-08
0,0,我好喜欢沈阳的妹子快快介绍我,Liaoning,Regional and Group Characteristics,video98,comment226,2024-10-16
6,2,究极原住民 2017年,Shaanxi,Regional and Group Characteristics,video28,comment227,2024-07-24
0,0,精神小妹有性价比,Henan,Social Evaluation and Concepts,video3,comment228,2025-05-07
0,0,江西没有这么多精神小妹,Guangdong,Regional and Group Characteristics,video74,comment229,2024-09-07
0,1,这才是有活的,Shandong,Behavior and Lifestyle,video8,comment230,2025-03-19
0,0,你们楞是要精神小妹的档次也拔上去了,Xinjiang,Social Evaluation and Concepts,video1,comment231,2025-03-20
0,0,挺厉害 还减肥了,Liaoning,Appearance and Attire,video99,comment232,2025-03-08
0,0,黄头发精神小妹,Jiangxi,Appearance and Attire,video4,comment233,2025-04-25
0,0,现实长这样的不差人带她们玩吧,Hubei,Appearance and Attire,video22,comment234,2024-12-07
0,0,两个小酒窝笑起来真好看,Zhejiang,Appearance and Attire,video25,comment235,2024-06-16
0,0,她的这些衣服我真的get不到 泪奔,Chongqing,Appearance and Attire,video100,comment236,2025-05-19
0,0,精神小妹哪里领,Guangdong,Seeking Interaction and Imitation,video101,comment237,2025-01-17
6,3,郑州有没有，让我也认识个 泣不成声,Henan,Seeking Interaction and Imitation,video53,comment238,2025-02-14
0,0,这边衣服那么平价的嘛 宕机,Hubei,Appearance and Attire,video51,comment239,2025-04-18
0,2,广东有点说法 微笑,Shandong,Regional and Group Characteristics,video45,comment240,2025-02-17
0,1,机车女孩那首歌,Fujian,Regional and Group Characteristics,video25,comment241,2024-06-17
0,0,情绪价值拉满,Henan,Emotions and Interpersonal Relationships,video53,comment242,2025-02-16
0,0,这眼睛，看着就吓人 捂脸,Fujian,Appearance and Attire,video20,comment243,2025-05-12
0,0,哥能不能不涂粉,Shandong,Appearance and Attire,video47,comment244,2025-05-17
0,2,我以前初高中时候也是和他们差不多，在五角场那边有几家专门卖精神小伙的店铺，很多上海朋友都知道哪几家 捂脸,Shanghai,Sharing Personal Experiences,video15,comment245,2025-04-30
0,0,作为 80 感觉花一万都没这么年轻的精神小妹太值得了,Henan,Appearance and Attire,video7,comment246,2024-12-11
4,0,有没有老婆知道哪里可以买到正版的JK长裙我好喜欢这种 流泪,Hainan,Appearance and Attire,video33,comment247,2025-04-10
0,0,草买，你好靓哦,Fujian,Appearance and Attire,video25,comment248,2024-06-17
0,0,海南精神小妹,Shandong,Regional and Group Characteristics,video102,comment249,2024-09-01
0,0,真邋遢！我家地上看到一根头发！我都要弯腰捡起来 微笑,Shanghai,Behavior and Lifestyle,video8,comment250,2025-03-25
0,0,我以为就我羡慕他们的身材 泣不成声,Guangdong,Appearance and Attire,video21,comment251,2023-10-18
0,0,偶然刷到，真搞不懂这些人呀，不能说他们坏，大多都是小孩心性。想玩可以理解，但身上没钱不觉得慌吗？是找不到事做还是不想做？特别是那些女孩，一不小心就误入歧途了，甚至可能仅为一顿饭,Guangdong,Social Evaluation and Concepts,video83,comment252,2024-11-19
